F1	F2	F3	F4	F5	F6	F7	F8	F9	F11	F12	F13	F14	¾¶Á÷Á¿
0.737	0.089	0.065	0.454	2.87	2.87	0	0	49.174	8.061	24.238	16.875	0.642	17.4
0	0	0.014	0.095	2.05	2.05	0	0	47.777	6.664	24.238	16.875	0.128	19.4
7.894	3.844	0.31	2.171	5.227	5.227	0	0	72.667	20	35.792	16.875	6.629	31.6
1.638	0.658	0.24	1.681	0.512	0.512	0	0	76.687	20	39.812	16.875	2.263	164
0	0	0.083	0.58	3.28	3.28	0	0	73.536	16.849	39.812	16.875	0.453	176
0	0	0.016	0.11	4.92	4.92	0	0	68.616	11.929	39.812	16.875	0.091	85.8
0	0	0.003	0.02	4.51	4.51	0	0	64.106	7.419	39.812	16.875	0.018	52
0	0	0.001	0.004	5.023	5.023	0	0	59.084	2.397	39.812	16.875	0.004	39.4
0	0	0	0.001	3.514	2.397	1.117	0	55.57	0	38.695	16.875	0.001	31.7
0	0	0	0	1.814	0.288	1.526	0	54.044	0	37.169	16.875	0	26.4
0	0	0	0	2.2	1.771	0.43	0	53.614	0	36.739	16.875	0	23.2
0	0	0	0	0.827	0.224	0.603	0	53.011	0	36.136	16.875	0	23.2
0	0	0	0	1.875	0.124	1.752	0	51.259	0	34.384	16.875	0	25.3
0	0	0	0	0.812	0.059	0.753	0	50.506	0	33.631	16.875	0	21.1
0	0	0	0	2.306	1.094	1.212	0	49.294	0	32.419	16.875	0	18.9
5.462	2.139	0.255	1.786	2.972	2.972	0	0	67.2	17.906	32.419	16.875	5.483	24.7
0.135	0.052	0.136	0.955	0.922	0.922	0	0	67.578	18.284	32.419	16.875	1.038	95.6
6.082	2.349	0.311	2.174	0.82	0.82	0	0	82.358	20	45.483	16.875	5.221	90.9
0	0	0.211	1.478	0.615	0.615	0	0	81.767	19.409	45.483	16.875	1.044	182
0	0	0.042	0.293	3.997	3.997	0	0	77.769	15.411	45.483	16.875	0.209	110
0	0	0.008	0.055	0.41	0.41	0	0	77.548	15.189	45.483	16.875	0.042	62
0	0	0.002	0.011	3.177	3.177	0	0	75.364	13.006	45.483	16.875	0.008	46
7.244	2.744	0.345	2.415	3.28	3.28	0	0	90.417	20	53.542	16.875	5.364	35.8
0	0	0.249	1.742	3.793	3.793	0	0	86.659	16.243	53.542	16.875	1.073	103
0	0	0.047	0.327	3.485	3.485	0	0	83.686	13.27	53.542	16.875	0.215	105
14.2	7.366	0.526	3.681	0.102	0.102	0	0	105.884	20	69.009	16.875	6.971	56.3
4.677	2.18	0.477	3.342	2.05	2.05	0	0	110.81	20	73.935	16.875	2.869	328
2.084	0.644	0.284	1.986	0.102	0.102	0	0	112.7	20	75.825	16.875	1.082	274
0	0	0.076	0.53	0.615	0.615	0	0	112.085	19.385	75.825	16.875	0.216	196
10.177	3.289	0.55	3.847	0.307	0.307	0	0	119.124	20	82.249	16.875	4.471	121
0	0	0.374	2.62	2.152	2.152	0	0	118.707	19.583	82.249	16.875	0.894	139
62.563	42.79	1.568	10.978	2.255	2.255	0	0	121.406	20	84.531	16.875	8.319	194
7.402	4.19	1.05	7.35	1.845	1.845	0	0	121.406	20	84.531	16.875	2.788	1330
67.008	47.95	1.687	11.809	3.997	3.997	0	0	121.406	20	84.531	16.875	8.35	446
62.658	48.681	1.763	12.34	3.895	3.895	0	0	121.406	20	84.531	16.875	8.223	1620
11.351	6.355	1.182	8.277	1.537	1.537	0	0	121.406	20	84.531	16.875	3.76	1750
0	0	0.376	2.632	3.69	3.69	0	0	117.728	16.322	84.531	16.875	0.752	481
0	0	0.06	0.42	4.305	4.305	0	0	113.447	12.04	84.531	16.875	0.15	190
0	0	0.011	0.075	4.407	4.407	0	0	109.063	7.656	84.531	16.875	0.03	110
5.415	1.159	0.342	2.392	2.05	2.05	0	0	114.003	12.597	84.531	16.875	2.954	76.6
0	0	0.213	1.492	3.075	3.075	0	0	110.928	9.522	84.531	16.875	0.591	97.5
0	0	0.04	0.278	4.1	4.1	0	0	106.828	5.422	84.531	16.875	0.118	66.4
0	0	0.007	0.051	3.895	3.895	0	0	102.945	1.539	84.531	16.875	0.024	47.5
0	0	0.001	0.01	4.464	2.18	2.284	0	99.122	0	82.247	16.875	0.005	29.6
0	0	0	0.002	5.214	0.718	4.496	0	94.626	0	77.751	16.875	0.001	23.2
0	0	0	0	5.765	4.118	1.647	0	92.979	0	76.104	16.875	0	19.6
0	0	0	0	3.079	0.029	3.049	0	89.93	0	73.055	16.875	0	24.3
1.458	0.192	0.127	0.886	4.612	4.612	0	0	92.477	2.547	73.055	16.875	0.695	19.6
8.261	3.048	0.421	2.948	2.972	2.972	0	0	104.414	14.484	73.055	16.875	5.127	39
33.752	22.18	1.058	7.409	4.715	4.715	0	0	121.406	20	84.531	16.875	7.819	104
0	0	0.782	5.473	3.075	3.075	0	0	118.331	16.925	84.531	16.875	1.564	751
0	0	0.127	0.89	1.742	1.742	0	0	117.071	15.665	84.531	16.875	0.313	218
9.412	2.639	0.568	3.977	1.64	1.64	0	0	121.225	19.819	84.531	16.875	3.578	110
0.185	0.042	0.263	1.838	1.23	1.23	0	0	121.263	19.857	84.531	16.875	0.632	126
0	0	0.06	0.422	4.305	4.305	0	0	116.97	15.564	84.531	16.875	0.126	96.4
0	0	0.01	0.069	2.255	2.255	0	0	114.721	13.314	84.531	16.875	0.025	58
0	0	0.002	0.013	4.715	4.715	0	0	110.006	8.599	84.531	16.875	0.005	44.5
0	0	0	0.002	5.535	5.535	0	0	105.841	4.435	84.531	16.875	0.001	33
0	0	0	0	3.69	3.69	0	0	102.151	0.745	84.531	16.875	0	23.2
0	0	0	0	5.339	0.745	4.594	0	96.812	0	79.937	16.875	0	18.1
0	0	0	0	5.32	0	5.32	0	91.492	0	74.617	16.875	0	14.4
0	0	0	0	5.232	0	5.232	0	86.26	0	69.385	16.875	0	11.7
0	0	0	0	3.886	3.847	0.039	0	86.222	0	69.347	16.875	0	10.6
0	0	0	0	3.566	0.535	3.031	0	83.191	0	66.316	16.875	0	10.6
0	0	0	0	4.714	1.982	2.732	0	80.459	0	63.584	16.875	0	10.6
0	0	0	0	3.826	2.482	1.344	0	79.116	0	62.241	16.875	0	12.3
0	0	0	0	4.142	0	4.142	0	74.974	0	58.099	16.875	0	11.7
4.087	1.07	0.242	1.695	6.355	6.355	0	0	84.096	9.122	58.099	16.875	3.492	11.1
2.451	0.762	0.25	1.75	2.05	2.05	0	0	88.848	13.874	58.099	16.875	2.263	28.8
0	0	0.102	0.716	3.382	3.382	0	0	87.054	12.08	58.099	16.875	0.453	79
0	0	0.02	0.139	5.535	5.535	0	0	81.519	6.545	58.099	16.875	0.091	34.8
0	0	0.004	0.025	5.432	5.432	0	0	77.274	2.301	58.099	16.875	0.018	18.9
0	0	0.001	0.005	4.203	2.301	1.902	0	73.071	0	56.196	16.875	0.004	12.3
0	0	0	0.001	3.811	0.012	3.799	0	69.272	0	52.397	16.875	0.001	10.1
0	0	0	0	3.953	0.076	3.876	0	65.396	0	48.521	16.875	0	8.6
0	0	0	0	3.751	0.006	3.745	0	61.651	0	44.776	16.875	0	7.23
0	0	0	0	3.352	0	3.352	0	58.299	0	41.424	16.875	0	5.93
0	0	0	0	2.841	1.488	1.353	0	56.946	0	40.071	16.875	0	4.83
0	0	0	0	3.644	3.159	0.485	0	56.461	0	39.586	16.875	0	5.56
0	0	0	0	3.829	3.076	0.752	0	55.709	0	38.834	16.875	0	6.35
0	0	0	0	2.848	1.235	1.613	0	54.096	0	37.221	16.875	0	7.68
0	0	0	0	2.477	0	2.477	0	51.619	0	34.744	16.875	0	5.93
0	0	0	0	5.392	5.088	0.304	0	51.315	0	34.44	16.875	0	5.93
0	0	0	0	2.528	0.665	1.863	0	49.452	0	32.577	16.875	0	5.19
0.236	0.009	0.023	0.159	3.793	3.793	0	0	50.348	0.895	32.577	16.875	0.217	4.83
0	0	0.005	0.033	3.112	0.895	2.217	0	47.235	0	30.36	16.875	0.043	5.73
0	0	0.001	0.006	1.863	0.035	1.828	0	45.408	0	28.533	16.875	0.009	11.1
