id	name	code	zip	area_code	abbr	parent_id	latitude	longitude	is_deleted	level	displayorder	user_id	user_name	updated_at	created_at
1	中国	china				0	39.55	116.24	N	0	0	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
2	北京	beijing				1	39.55	116.24	N	1	101	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3	天津	tianji				1	39.02	117.12	N	1	104	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
4	河北	hebei				1	38.02	114.30	N	1	112	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
5	山西	shanxi				1	37.54	112.33	N	1	118	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
6	内蒙古	neimenggu				1	40.48	111.41	N	1	130	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
7	辽宁	liaoning				1	41.48	123.25	N	1	120	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
8	吉林	jili				1	43.54	125.19	N	1	119	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
9	黑龙江	heilongjiang				1	45.44	126.36	N	1	121	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
10	上海	shanghai				1	31.14	121.29	N	1	102	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
11	江苏	jiangsu				1	32.03	118.46	N	1	107	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
12	浙江	zhejiang				1	30.16	120.10	N	1	106	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
13	安徽	anhui				1	31.52	117.17	N	1	113	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
14	福建	fujia				1	26.05	119.18	N	1	115	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
15	江西	jiangxi				1	28.40	115.55	N	1	114	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
16	山东	shandong				1	36.40	117.00	N	1	116	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
17	河南	hena				1	34.46	11340	N	1	111	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
18	湖北	hubei				1	30.35	114.17	N	1	109	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
19	湖南	huna				1	28.12	112.59	N	1	110	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
20	广东	guangdong				1	23.08	113.14	N	1	105	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
21	广西	guangxi				1	22.48	108.19	N	1	122	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
22	海南	haina				1	20.02	110.20	N	1	123	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
23	重庆	zhongqing				1	29.35	106.33	N	1	103	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
24	四川	sichua				1	30.40	104.04	N	1	108	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
25	贵州	guizhou				1	26.35	106.42	N	1	125	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
26	云南	yunna				1	25.04	102.42	N	1	124	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
27	西藏	xicang				1	29.39	91.08	N	1	131	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
28	陕西	shaanxi				1	34.17	108.57	N	1	117	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
29	甘肃	gansu				1	36.04	103.51	N	1	126	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
30	青海	qinghai				1	36.38	101.48	N	1	127	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
31	宁夏	ningxia				1	38.27	106.16	N	1	128	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
32	新疆	xinjiang				1	43.45	87.36	N	1	129	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
33	北京市	beijingshi		010	bjs	2	39.944033	116.383026	N	2	1	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
34	天津市	tianjinshi		020	tjs	3	39.02	117.12	N	2	15	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
35	石家庄市	shijiezhuangshi		0311	sjzs	4	38.02	114.30	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
36	唐山市	tangshanshi		0315	tss	4	39.36	118.11	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
37	秦皇岛市	qinhuangdaoshi		0335	qhds	4	39.55	119.35	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
38	邯郸市	handanshi		0310	hds	4	36.36	114.28	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
39	邢台市	xingtaishi		0319	xts	4	37.04	114.30	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
40	保定市	baodingshi		0312	bds	4	38.51	115.30	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
41	张家口市	zhangjiekoushi		0313	zjks	4	40.48	114.53	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
